id,action,verb,noun
0, take_pan,0,1
1, take_fridge,0,10
2, get_fish,0,100
3, pick-up_chilli,0,101
4, get_cover,0,102
5, get_sugar,0,103
6, take_aubergine,0,104
7, pick-up_jug:measuring,0,105
8, get_leek,0,107
9, pick-up_rubbish,0,108
10, take_ladle,0,109
11, take_lid,0,11
12, take_mushroom,0,110
13, take_stock,0,111
14, pick-up_freezer,0,112
15, take_pizza,0,114
16, pick-up_yoghurt,0,116
17, pick-up_chopstick:fork,0,117
18, pick-up_grape,0,118
19, pick-up_ginger,0,119
20, pick-up_hand,0,12
21, take_banana,0,120
22, take_oregano,0,121
23, pick-up_tuna,0,122
24, pick-up_tabla:kitchen,0,123
25, take_salmon,0,124
26, pick-up_basket,0,125
27, get_moka,0,126
28, pick-up_roll:sesame,0,127
29, pick-up_broom,0,128
30, get_lemon,0,129
31, take_onion,0,13
32, take_clothes,0,130
33, take_grater,0,131
34, pick-up_strainer:mesh,0,132
35, pick-up_bacon,0,133
36, get_avocado,0,134
37, take_blueberry,0,135
38, pick-up_pesto,0,136
39, pick-up_utensil,0,137
40, take_bean:green,0,138
41, grab_floor,0,139
42, get_onion:spring,0,14
43, pick-up_lime,0,140
44, take_foil,0,141
45, grab_grill,0,142
46, take_ingredient,0,143
47, take_scale,0,144
48, get_paste:garlic,0,145
49, get_processor:food,0,146
50, pick-up_nut,0,147
51, grab_butter,0,148
52, pick-up_pot:coffee,0,15
53, take_timer,0,151
54, pull-down_tablecloth,0,153
55, take_powder:curry,0,155
56, take_powder:washing,0,156
57, get_oat,0,158
58, take_tofu,0,159
59, take_glass,0,16
60, take_lighter,0,160
61, pick-up_sweetcorn,0,161
62, get_vinegar,0,162
63, pick-up_cap:sink,0,164
64, pick-up_trivet,0,165
65, pick-up_fraiche,0,166
66, take_tongs,0,168
67, pick_pastry,0,169
68, pick-up_water,0,17
69, pick-up_raisin,0,171
70, pick-up_broccoli,0,173
71, take_pin:rolling,0,174
72, grab_plug,0,175
73, take_bag:tea,0,177
74, take_parsley,0,178
75, take_fork,0,18
76, get_herb,0,180
77, pick-up_base:pizza,0,181
78, take_holder:pot,0,182
79, pick-up_thyme,0,183
80, get_honey,0,184
81, take_celery,0,185
82, get_kiwi,0,186
83, get_tissue,0,187
84, take_clip,0,189
85, take_board:cutting,0,19
86, pick-up_noodle,0,190
87, take_yeast,0,191
88, take_hummus,0,192
89, get_coconut,0,193
90, pick-up_cabbage,0,194
91, pick-up_spinach,0,195
92, pick-up_nutella,0,196
93, take_fruit,0,197
94, take_dressing,0,198
95, pick-up_omelette:rolled,0,199
